ti,   y,   u
54212.000000,   32.775879,   49.777832
54311.000000,   32.806091,   49.790039
54421.000000,   33.614960,   49.777832
54512.000000,   32.881622,   49.785461
54612.000000,   33.018951,   49.777832
54712.000000,   33.797607,   49.793091
54811.000000,   33.690491,   49.782410
54930.000000,   33.522949,   49.790039
55012.000000,   33.446045,   49.782410
55112.000000,   32.896729,   49.785461
55212.000000,   33.325195,   49.777832
55311.000000,   33.430939,   49.782410
55413.000000,   32.988739,   49.790039
55512.000000,   32.881622,   49.785461
55612.000000,   33.767395,   49.782410
55712.000000,   32.958527,   49.774780
55811.000000,   32.988739,   49.777832
55911.000000,   32.913208,   49.770203
56012.000000,   33.003845,   49.785461
56130.000000,   33.126068,   49.785461
56206.000000,   33.645172,   49.777832
56312.000000,   33.919830,   49.785461
56411.000000,   33.919830,   49.782410
56546.000000,   33.812714,   49.782410
56633.000000,   33.430939,   49.782410
56713.000000,   33.415833,   49.793091
56812.000000,   33.385620,   49.774780
56942.000000,   34.057159,   49.777832
57011.000000,   33.202972,   49.782410
57113.000000,   34.072266,   49.777832
57232.000000,   34.224701,   49.785461
57312.000000,   34.331818,   49.785461
57412.000000,   33.614960,   49.793091
57511.000000,   33.980255,   49.790039
57612.000000,   33.737183,   49.790039
57717.000000,   34.224701,   49.777832
57832.000000,   33.720703,   49.777832
57913.000000,   34.438934,   49.782410
58012.000000,   33.874512,   49.782410
58112.000000,   33.568268,   49.785461
58226.000000,   34.057159,   49.785461
58312.000000,   34.132690,   49.793091
58413.000000,   33.583374,   49.782410
58512.000000,   33.568268,   49.793091
58612.000000,   34.438934,   49.782410
58711.000000,   33.934937,   49.790039
58806.000000,   34.454041,   49.782410
58920.000000,   34.057159,   49.782410
59012.000000,   33.980255,   49.785461
59112.000000,   33.874512,   49.790039
59212.000000,   33.842926,   49.777832
59312.000000,   34.346924,   49.777832
59430.000000,   34.576263,   49.790039
59512.000000,   34.057159,   49.782410
59612.000000,   33.904724,   49.782410
59712.000000,   34.179382,   49.793091
59812.000000,   34.941559,   49.777832
59912.000000,   34.789124,   49.782410
60028.000000,   34.514465,   49.777832
60112.000000,   34.164276,   49.777832
60212.000000,   34.331818,   49.782410
60320.000000,   34.377136,   49.782410
60406.000000,   34.911346,   49.774780
60512.000000,   33.934937,   49.782410
60612.000000,   34.316711,   49.790039
60711.000000,   34.682007,   49.782410
60812.000000,   34.636688,   49.782410
60912.000000,   34.804230,   49.782410
61019.000000,   34.331818,   49.790039
61131.000000,   34.011841,   49.777832
61217.000000,   34.270020,   49.777832
61329.000000,   34.896240,   49.782410
61412.000000,   34.896240,   49.785461
61511.000000,   34.057159,   49.782410
61612.000000,   34.621582,   49.777832
61735.000000,   35.078888,   49.790039
61812.000000,   34.896240,   49.782410
61912.000000,   34.179382,   49.782410
62012.000000,   34.407349,   49.782410
62112.000000,   34.561157,   49.782410
62215.000000,   34.423828,   49.785461
62312.000000,   35.048676,   49.785461
