File_Record_0005.rec ( 40391 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 4:08:55 PM Fmax 0.7 Hz
t	y	u	
5260.000000	2.5421e+001	4.9522e+001	
5270.000000	2.5772e+001	4.9533e+001	
5280.000000	2.5772e+001	4.9533e+001	
5290.000000	2.5650e+001	4.9525e+001	
5300.000000	2.5497e+001	4.9544e+001	
5310.000000	2.5818e+001	4.9552e+001	
5320.000000	2.5620e+001	4.9533e+001	
5330.000000	2.5711e+001	4.9552e+001	
5340.000000	2.5757e+001	4.9548e+001	
5350.000000	2.5406e+001	4.9540e+001	
5360.000000	2.5620e+001	4.9537e+001	
5370.000000	2.5650e+001	4.9559e+001	
5380.000000	2.5848e+001	4.9540e+001	
5390.000000	2.5635e+001	4.9537e+001	
5400.000000	2.5726e+001	4.9544e+001	
5410.000000	2.5818e+001	4.9540e+001	
5420.000000	2.5421e+001	4.9559e+001	
5430.000000	2.5970e+001	4.9548e+001	
5440.000000	2.5757e+001	4.9556e+001	
5450.000000	2.5497e+001	4.9548e+001	
5460.000000	2.5513e+001	4.9552e+001	
5470.000000	2.5620e+001	4.9559e+001	
5480.000000	2.5574e+001	4.9559e+001	
5490.000000	2.5711e+001	4.9548e+001	
5500.000000	2.6093e+001	4.9556e+001	
5510.000000	2.5406e+001	4.9556e+001	
5520.000000	2.5711e+001	4.9556e+001	
5530.000000	2.5726e+001	4.9556e+001	
5540.000000	2.5711e+001	4.9556e+001	
5550.000000	2.5421e+001	4.9552e+001	
5560.000000	2.5955e+001	4.9544e+001	
5570.000000	2.5375e+001	4.9556e+001	
5580.000000	2.5528e+001	4.9559e+001	
5590.000000	2.5574e+001	4.9563e+001	
5600.000000	2.5894e+001	4.9548e+001	
5610.000000	2.5375e+001	4.9556e+001	
5620.000000	2.5848e+001	4.9559e+001	
5630.000000	2.5681e+001	4.9552e+001	
5640.000000	2.5406e+001	4.9563e+001	
5650.000000	2.5558e+001	4.9552e+001	
5660.000000	2.5726e+001	4.9567e+001	
5670.000000	2.5314e+001	4.9556e+001	
5680.000000	2.5513e+001	4.9552e+001	
5690.000000	2.5299e+001	4.9567e+001	
5700.000000	2.5604e+001	4.9556e+001	
